営業担当,取扱会社種別,取扱事業所名,法人形態,顧客名,顧客名（カナ）,業種,会社規模,事業展開地域,取引拡大可能性,社歴,信頼性,所属部署,顧客担当者名,顧客住所,電話番号,メールアドレス,FAX
森山 仁尚,PA,北九州本社,（前）株式会社,ハマサキ・ホールディング,ハマサキ・ホールディング,運輸業・郵便業,,地域限定,,創業10年以上,,,,福岡県北九州市八幡西区竹末1-15-10,,,
森山 仁尚,PA,北九州本社,（後）株式会社,富士通コミュニケーションサービス北九州サポートセンター（KSC）,フジツウコミュニケーションサービスキタキュウシュウサポートセンター,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,福岡県北九州市小倉北区浅野3-1-6,050-3163-9800,,093-512-3310
森山 仁尚,PA,北九州本社,（後）株式会社,富士通コミュニケーションサービス黒崎サポートセンター（KRSC）,フジツウコミュニケーションサービスクロサキサポートセンター,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,福岡県北九州市八幡西区西曲里町2-1黒崎テクノプラザ,050-3163-9900,,093-644-8801
森山 仁尚,PA,北九州本社,（後）株式会社,富士通コミュニケーションサービス豊前サテライトオフィス（BSO）,フジツウコミュニケーションサービスブゼンサテライトオフィス,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,福岡県豊前市大字八屋1926-1,,,
森山 仁尚,HC,北九州本社,（前）株式会社,九倉,キュウソウ,運輸業・郵便業,,複数地域,,創業30年以上,,,,福岡県北九州市門司区新門司1-7-14,093-481-6141,,
森山 仁尚,PA,北九州本社,（後）株式会社,第一港運,ダイイチコウウン,運輸業・郵便業,,地域限定,,創業30年以上,,,,福岡県北九州市若松区本町2-3-19NCわかまつ本社ビル3階,093-761-3135,,093-771-5773
森山 仁尚,PA,北九州本社,（前）株式会社,サンリブマルショク浅川店,サンリブマルショクアサカワテン,卸売業・小売業,,複数地域,,創業30年以上,,,,福岡県北九州市八幡西区浅川日の峯2-27-22,093-692-0346,,
森山 仁尚,HC,北九州本社,（前）株式会社,秋月,アキツキ,,,,,,,,,福岡県北九州市小倉北区鋳物師町9-21,093-383-8370,,
森山 仁尚,HC,北九州本社,（後）株式会社,日本通運北九州支店,ニッポンツウウンキタキュウシュウシテン,運輸業・郵便業,,全国展開,,創業30年以上,,,,福岡県北九州市小倉北区西港町110-1,093-582-6111,,
森山 仁尚,HC,北九州本社,（後）株式会社,日本通運九州医薬品センター,ニッポンツウウンキュウシュウイヤクヒンセンター,運輸業・郵便業,,全国展開,,創業30年以上,,,,福岡県北九州市小倉南区舞ケ丘6-1-1,,,
